,species,recommendation,origin,fishing gear,farming method
376,Queen triggerfish,AVOID,United States (Florida),Handlines and hand-operated pole-and-lines,
377,Queen triggerfish,AVOID,United States (U.S. Virgin Islands),Diving,
378,Brook trout,CERTIFIED,Worldwide,,Net Cages
379,Brook trout,CERTIFIED,Worldwide,,Ponds
380,Brown trout,CERTIFIED,Worldwide,,All production methods
381,Brown trout,CERTIFIED,Worldwide,,Net Cages
382,Brown trout,CERTIFIED,Worldwide,,Ponds
383,Albacore,BEST CHOICE,N/A,Handlines and hand-operated pole-and-lines,
384,Albacore,BEST CHOICE,N/A,Trolling lines,
385,Albacore,BEST CHOICE,"Canada (British Columbia), United States (California, Oregon, Washington)",Trolling lines,
386,Albacore,CERTIFIED,United States,Trolling lines,
387,Albacore,CERTIFIED,United States,Trolling lines,
388,Greenland turbot,BEST CHOICE,United States (Alaska),Bottom trawls,
389,Greenland turbot,CERTIFIED,Canada,"Gillnets, Bottom trawls",
390,Greenland turbot,CERTIFIED,Germany,Otter trawls,
391,Greenland turbot,CERTIFIED,Iceland,"Gillnets, Longlines, Otter trawls, Shrimp trawls, Midwater trawls",
392,Greenland turbot,CERTIFIED,Russia,Otter trawls,
393,Wahoo,BEST CHOICE,"United States, High Seas",Handlines and hand-operated pole-and-lines,
394,Wahoo,GOOD ALTERNATIVE,United States (Hawaii),Longline (deep-set),
395,Wahoo,GOOD ALTERNATIVE,United States (Hawaii),Longline (deep-set),
396,Wahoo,GOOD ALTERNATIVE,United States (Hawaii),Handlines and hand-operated pole-and-lines,
397,Wahoo,GOOD ALTERNATIVE,United States (Hawaii),Trolling lines,
398,Walleye,BEST CHOICE,United States (Minnesota),Handlines and hand-operated pole-and-lines,
399,Walleye,BEST CHOICE,United States (Minnesota),Set gillnets,
400,Walleye,CERTIFIED,Canada,Gillnets,
401,Walleye,CERTIFIED,Canada,Gillnets,
402,Walleye,GOOD ALTERNATIVE,Canada,"Barriers, fences, weirs, corrals, etc.",
403,Waved whelk,CERTIFIED,France,Pots,
404,Lake whitefish,BEST CHOICE,United States (Michigan),Stationary uncovered pound nets,
405,Lake whitefish,BEST CHOICE,United States (Wisconsin),Set gillnets,
406,Lake whitefish,BEST CHOICE,United States (Wisconsin),Stationary uncovered pound nets,
407,Lake whitefish,BEST CHOICE,United States (Wisconsin),Set gillnets,
408,Lake whitefish,BEST CHOICE,United States (Wisconsin),Stationary uncovered pound nets,
409,Southern blue whiting,CERTIFIED,New Zealand,Midwater trawls,
410,Atlantic wolffish,CERTIFIED,Iceland,"Gillnets, Handlines and pole-lines (hand-operated), Longlines, Danish seines, Bottom trawls, Nephrops trawls",
411,Wreckfish,BEST CHOICE,United States,Vertical lines,
